Adobe After Effects 8.0 Keyframe Data

	Units Per Second	29.97
	Source Width	1920
	Source Height	960
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Motion Trackers	Tracker #1	Track Point #1	Confidence
	Frame	percent	
	993	96.9049	
	994	97.7834	
	995	97.9358	
	996	97.5733	
	997	96.9805	
	998	96.499	
	999	95.9179	
	1000	96.2425	
	1001	95.4357	
	1002	95.0431	
	1003	94.7742	
	1004	94.3111	
	1005	94.029	
	1006	94.5121	
	1007	94.4255	
	1008	95.5709	
	1009	96.8507	
	1010	97.7762	
	1011	98.5677	
	1012	98.6809	
	1013	98.5722	
	1014	98.1765	
	1015	97.9861	
	1016	96.891	
	1017	97.1062	
	1018	97.0362	
	1019	96.9773	
	1020	97.0812	
	1021	96.9976	
	1022	96.9179	
	1023	96.7808	
	1024	96.1782	
	1025	96.2441	
	1026	96.6721	
	1027	96.746	
	1028	96.4569	
	1029	96.9012	
	1030	97.0025	
	1031	96.8699	
	1032	96.4764	
	1033	94.6298	
	1034	94.6408	
	1035	95.1407	
	1036	95.9816	
	1037	95.0345	
	1038	94.612	
	1039	95.7937	
	1040	94.0565	
	1041	95.7349	
	1042	94.694	
	1043	94.5967	
	1044	93.4708	
	1045	92.2837	
	1046	92.4964	
	1047	93.2162	
	1048	93.0916	
	1049	93.9821	
	1050	93.6294	
	1051	92.1446	
	1052	92.3326	
	1053	88.4899	
	1054	87.0955	
	1055	86.5353	
	1056	84.304	
	1057	80.0482	
	1058	81.1907	
	1059	81.7641	
	1060	99.3686	
	1061	99.0339	
	1062	98.6813	
	1063	98.2564	
	1064	96.645	
	1065	96.9419	
	1066	95.5496	
	1067	92.2325	
	1068	93.6925	
	1069	92.6976	
	1070	92.2545	
	1071	90.1084	
	1072	87.134	
	1073	85.5687	
	1074	83.3607	
	1075	82.8646	
	1076	80.9999	
	1077	82.0391	
	1078	87.6661	
	1079	89.0641	
	1080	89.4986	
	1081	89.1963	
	1082	88.636	
	1083	88.4357	
	1084	88.1401	
	1085	89.6178	
	1086	89.9395	
	1087	85.7306	
	1088	86.7074	
	1089	89.1699	
	1090	86.659	
	1091	86.9061	
	1092	86.3224	
	1093	89.0504	
	1094	92.6248	
	1095	93.3485	
	1096	93.3327	
	1097	93.3172	
	1098	92.9601	
	1099	92.8038	
	1100	91.6391	
	1101	87.1191	
	1102	84.4832	
	1103	84.8673	
	1104	99.6968	
	1105	100	
	1106	100	
	1107	100	
	1108	100	
	1121	100	
	1122	98.9	
	1123	97.9714	
	1124	98.5252	
	1125	98.1715	
	1126	94.0492	
	1127	92.1682	
	1128	89.0253	
	1129	100	
	1130	98.2169	
	1131	96.6664	
	1132	96.7996	
	1133	96.5771	
	1134	95.2096	
	1135	94.3896	
	1136	95.0741	
	1137	96.0345	
	1138	100	
	1139	99.617	
	1140	99.3373	
	1141	99.072	
	1142	98.763	
	1143	98.8827	
	1144	98.2595	
	1145	97.8558	
	1146	97.0852	
	1147	100	
	1148	99.4765	
	1149	99.3524	
	1150	98.8026	
	1151	98.6545	
	1152	97.0148	
	1153	96.7927	
	1154	96.5209	
	1155	94.7833	
	1156	94.8836	
	1157	94.5694	
	1158	94.7794	
	1159	95.2656	
	1160	94.1574	
	1161	94.0402	
	1162	91.7248	
	1163	92.5658	
	1164	92.1919	
	1165	92.2984	
	1166	92.4015	
	1167	91.6842	
	1168	91.884	
	1169	91.8425	
	1170	92.4718	
	1171	92.5643	
	1172	92.6218	
	1173	92.8675	
	1174	92.9296	
	1175	93.4285	
	1176	92.9753	
	1177	92.7567	
	1178	92.7696	
	1179	91.9596	
	1180	90.5018	
	1181	91.0007	
	1182	90.4557	
	1183	89.7619	
	1184	89.8967	
	1185	89.9441	
	1186	89.6227	
	1187	89.4446	
	1188	89.3664	
	1189	89.4627	
	1190	88.5774	
	1191	87.7867	
	1192	90.1689	
	1193	87.8608	
	1194	88.4059	
	1195	88.7744	
	1196	94.7452	
	1197	93.9591	
	1198	95.0693	
	1199	97.0106	
	1200	97.0256	
	1201	96.2222	
	1202	95.9579	
	1203	96.1273	
	1204	95.7178	
	1205	95.7629	
	1206	96.3019	
	1207	95.9696	
	1208	94.8491	
	1209	95.3513	
	1210	95.1483	
	1211	96.0962	
	1212	95.8974	
	1213	96.1791	
	1214	96.4785	
	1215	96.3601	
	1216	96.4963	
	1217	96.2788	
	1218	96.1337	
	1219	96.4162	
	1220	96.1464	
	1221	95.2136	
	1222	94.9501	
	1223	94.8393	
	1224	94.4463	
	1225	93.4756	
	1226	94.171	
	1227	95.2302	
	1228	94.8885	
	1229	94.6408	
	1230	94.5832	
	1231	94.3801	
	1232	95.2113	
	1233	95.0537	
	1234	95.8001	
	1235	95.549	
	1236	94.9863	
	1237	92.949	
	1238	93.0887	
	1239	90.1714	
	1240	87.201	
	1241	84.7629	
	1242	83.9984	
	1243	85.0519	
	1244	85.8277	
	1245	85.418	
	1246	85.3785	
	1247	84.3895	
	1248	84.9458	
	1249	86.2994	
	1250	85.9457	
	1251	83.8946	
	1252	84.9496	
	1253	83.8893	
	1254	85.1478	
	1255	84.3883	
	1256	83.0164	
	1257	83.4656	
	1258	82.9734	
	1259	86.3204	
	1260	92.6255	
	1261	92.0886	
	1262	91.2008	
	1263	90.2537	
	1264	90.9134	
	1265	91.9942	
	1266	89.1195	
	1267	89.1908	
	1268	89.1912	
	1269	89.3884	
	1270	90.271	
	1271	89.8084	
	1272	89.5373	
	1273	88.4494	
	1274	87.333	
	1275	86.1662	
	1276	87.5576	
	1277	87.475	
	1278	87.475	
	1279	88.3396	
	1280	88.9237	
	1281	88.1156	
	1282	87.4306	
	1283	88.2623	
	1284	88.275	
	1285	86.4228	
	1286	86.2575	
	1287	84.8908	
	1288	84.2424	
	1289	83.44	
	1290	84.9524	
	1291	84.735	
	1292	99.8204	
	1293	100	
	1294	99.6217	
	1295	99.6229	
	1296	99.3373	
	1297	98.9894	
	1298	98.9481	
	1299	98.7735	
	1300	98.7437	
	1301	98.6531	
	1302	98.6597	
	1303	98.5124	
	1304	98.6251	
	1305	98.3339	
	1306	98.7835	
	1307	98.6495	
	1308	98.3471	
	1309	97.8904	
	1310	98.3608	
	1311	98.1593	
	1312	97.3826	
	1313	97.7626	
	1314	97.5759	
	1315	97.2412	
	1316	96.2324	
	1317	95.4367	
	1318	95.5964	
	1319	96.1349	
	1320	95.9251	
	1321	96.1232	
	1322	95.9215	
	1323	95.9068	
