Adobe After Effects 8.0 Keyframe Data

	Units Per Second	29.97
	Source Width	1920
	Source Height	960
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Motion Trackers	Tracker #2	Track Point #1	Feature Center
	Frame	X pixels	Y pixels
	4615	1106.03	636.59
	4616	1107.04	636.617
	4617	1108.05	636.648
	4618	1109.06	636.68
	4619	1110.09	637.141
	4620	1111.11	637.168
	4621	1112.14	637.195
	4622	1113.18	637.207
	4623	1114.23	637.23
	4624	1115.3	637.254
	4625	1116.38	637.266
	4626	1117.87	637.293
	4627	1118.92	637.309
	4628	1119.97	637.332
	4629	1121	637.336
	4630	1122.02	637.348
	4631	1123.04	637.359
	4632	1124.05	637.371
	4633	1125.07	637.379
	4634	1126.09	637.391
	4635	1127.11	637.395
	4636	1128.12	637.395
	4637	1129.14	637.426
	4638	1130.16	637.434
	4639	1131.2	637.441
	4640	1132.23	637.449
	4641	1133.28	637.461
	4642	1134.34	637.469
	4643	1135.39	637.477
	4644	1136.46	637.496
	4645	1137.47	637.527
	4646	1138.37	637.531
	4647	1139.39	637.543
	4648	1140.44	637.566
	4649	1141.5	637.59
	4650	1142.55	637.629
	4651	1142.29	637.625
	4652	1141.73	637.621
	4653	1141.45	637.617
	4654	1141.13	637.609
	4655	1140.64	637.609
	4656	1140.37	637.621
	4657	1139.97	637.613
	4658	1139.59	637.613
	4659	1139.34	637.617
	4660	1138.83	637.609
	4661	1138.52	637.605
	4662	1138.28	637.598
	4663	1137.71	637.59
	4664	1137.44	637.598
	4665	1137.13	637.59
	4666	1136.63	637.586
	4667	1136.36	637.602
	4668	1135.95	637.586
	4669	1135.57	637.586
	4670	1135.34	637.594
	4671	1134.8	637.578
	4672	1134.5	637.586
	4673	1134.26	637.582
	4674	1133.69	637.574
	4675	1133.43	637.59
	4676	1133.11	637.578
	4677	1132.62	637.574
	4678	1132.36	637.594
	4679	1131.95	637.574
	4680	1131.56	637.578
	4681	1131.34	637.59
	4682	1130.8	637.57
	4683	1130.51	637.578
	4684	1130.26	637.574
	4685	1129.68	637.566
	4686	1129.43	637.582
	4687	1129.12	637.57
	4688	1128.61	637.57
	4689	1128.35	637.59
	4690	1127.94	637.57
	4691	1127.56	637.578
	4692	1127.34	637.586
	4693	1126.8	637.578
	4694	1126.5	637.59
	4695	1126.27	637.59
	4696	1125.7	637.582
	4697	1125.43	637.594
	4698	1125.12	637.578
	4699	1124.62	637.578
	4700	1124.36	637.594
	4701	1123.98	637.582
	4702	1123.58	637.586
	4703	1123.34	637.594
	4704	1122.83	637.582
	4705	1122.53	637.586
	4706	1122.28	637.578
	4707	1121.72	637.578
	4708	1121.45	637.582
	4709	1121.13	637.574
	4710	1120.64	637.578
	4711	1120.38	637.59
	4712	1119.97	637.582
	4713	1119.6	637.59
	4714	1119.34	637.598
	4715	1118.84	637.59
	4716	1118.55	637.598
	4717	1118.29	637.598
	4718	1117.75	637.602
	4719	1117.49	637.605
	4720	1117.17	637.602
	4721	1116.67	637.609
	4722	1116.41	637.613
	4723	1116	637.609
	4724	1115.61	637.613
	4725	1115.34	637.625
	4726	1114.86	637.629
	4727	1114.55	637.625
