Adobe After Effects 8.0 Keyframe Data

	Units Per Second	59.94
	Source Width	7680
	Source Height	3840
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Motion Trackers	Spider	Track Point #1	Feature Center
	Frame	X pixels	Y pixels	
	11778	4219.86	1285.55	
	11779	4219.86	1285.55	
	11780	4219.86	1285.55	
	11781	4219.86	1285.55	
	11782	4219.86	1285.55	
	11783	4219.86	1285.55	
	11784	4219.86	1285.55	
	11785	4219.86	1285.55	
	11786	4219.86	1285.55	
	11787	4219.86	1285.55	
	11788	4219.86	1285.55	
	11789	4219.86	1285.55	
	11790	4219.86	1285.55	
	11791	4219.86	1285.55	
	11792	4219.86	1285.55	
	11793	4219.86	1285.55	
	11794	4219.86	1285.55	
	11795	4219.86	1285.55	
	11796	4219.86	1285.55	
	11797	4219.86	1285.55	
	11798	4219.86	1285.55	
	11799	4219.86	1285.55	
	11800	4219.86	1285.55	
	11801	4219.86	1285.55	
	11802	4219.86	1285.55	
	11803	4219.86	1285.55	
	11804	4219.86	1285.55	
	11805	4219.86	1285.55	
	11806	4219.86	1285.55	
	11807	4219.86	1285.55	
	11808	4219.86	1285.55	
	11809	4219.86	1285.55	
	11810	4219.86	1285.55	
	11811	4219.86	1285.55	
	11812	4219.86	1285.55	
	11813	4219.86	1285.55	
	11814	4219.86	1285.55	
	11815	4219.86	1285.55	
	11816	4219.86	1285.55	
	11817	4219.86	1285.55	
	11818	4219.86	1285.55	
	11819	4219.86	1285.55	
	11820	4219.86	1285.55	
	11821	4219.86	1285.55	
	11822	4219.86	1285.55	
	11823	4219.86	1285.55	
	11824	4219.86	1285.55	
	11825	4219.86	1285.55	
	11826	4219.86	1285.55	
	11827	4219.86	1285.55	
	11828	4219.86	1285.55	
	11829	4219.86	1285.55	
	11830	4219.86	1285.55	
	11831	4219.86	1285.55	
	11832	4219.86	1285.55	
	11833	4219.86	1285.55	
	11834	4219.86	1285.55	
	11835	4219.86	1285.55	
	11836	4219.86	1285.55	
	11837	4219.86	1285.55	
	11838	4219.86	1285.55	
	11839	4219.86	1285.55	
	11840	4219.86	1285.55	
	11841	4219.86	1285.55	
	11842	4219.86	1285.55	
	11843	4219.86	1285.55	
	11844	4219.86	1285.55	
	11845	4219.86	1285.55	
	11846	4219.86	1285.55	
	11847	4219.86	1285.55	
	11848	4219.86	1285.55	
	11849	4219.86	1285.55	
	11850	4219.86	1285.55	
	11851	4219.86	1285.55	
	11852	4219.86	1285.55	
	11853	4219.86	1285.55	
	11854	4219.86	1285.55	
	11855	4219.86	1285.55	
	11856	4219.86	1285.55	
	11857	4219.86	1285.55	
	11858	4219.86	1285.55	
	11859	4219.86	1285.55	
	11860	4219.86	1285.55	
	11861	4219.86	1285.55	
	11862	4219.86	1285.55	
	11863	4219.86	1285.55	
	11864	4219.86	1285.55	
	11865	4219.86	1285.55	
