---,ra,dec,dist,mag,spect,ci,x,y,z,lum,proper,hip,bf,gl
27914,5.379296,19.011564,202.839798,7.59,G0III,1.073,31.026558,189.249329,66.077003,47.249802,,25134,,
27915,5.420465,-52.676903,209.6436,7.59,G8/K0III,0.946,19.211304,125.648621,-166.714691,32.991344,,25344,,
27916,5.481059,-50.715351,529.100525,7.59,K3III,1.438,45.374371,331.925446,-409.529022,35.220863,,25663,,
27917,5.517103,12.096764,333.333313,7.59,B3V,-0.099,41.095345,323.330688,69.854477,224.491547,,25844,,
27918,5.643851,-16.919289,58.411201,7.59,G3V,0.607,5.20294,55.640175,-16.999079,89.043045,,26534,,
27919,5.724075,-49.8424,389.105103,7.59,Ap...,-0.135,18.110756,250.276459,-297.38269,2.734009,,26975,,
27920,5.843701,44.011509,137.551605,7.59,A2,0.175,4.046899,98.844543,95.571442,121.338882,,27598,,
27921,5.871377,7.329386,315.457397,7.59,K0,1.332,10.533728,312.702484,40.24395,15.163519,,27729,,
27922,5.890794,18.169956,400,7.59,F5II,0.494,10.864332,379.898956,124.734695,79.799469,,27841,,
27923,5.927295,-68.046791,227.272705,7.59,K0III,1.178,1.617096,84.950485,-210.793411,128.233063,,28026,,
27924,5.931852,-56.555058,250,7.59,K0III,0.969,2.458188,137.761932,-208.603958,41.419037,,28051,,
27925,6.103342,64.081825,83.542198,7.59,F5,0.549,-0.987863,36.501854,75.139458,50.118725,,28914,,
27926,6.186989,15.561922,144.092194,7.59,G5,1.08,-6.792516,138.643646,38.657005,5.597576,,29344,,
27927,6.189308,14.475072,581.395325,7.59,G5Ib,1.311,-27.888275,562.248535,145.324844,16.641788,,29364,,
27928,6.261607,-20.201666,266.666687,7.59,K1III,1.188,-17.126738,249.675842,-92.08696,270.894379,,29733,,
27929,6.289398,45.86055,218.340607,7.59,K2,0.99,-11.509232,151.617737,156.691467,57.016426,,29871,,
27930,6.408569,38.569172,44.150101,7.59,G0,0.629,-3.685284,34.321957,27.525951,38.229622,,30486,,
27931,6.466344,23.668407,156.25,7.59,G5,0.991,-17.428362,142.041656,62.725441,1.563148,,30774,,
27932,6.471077,-19.797068,157.480301,7.59,K0III,1.017,-18.227537,147.047516,-53.336964,19.570414,,30796,,
27933,6.543156,50.95771,231.481506,7.59,K0,1.326,-20.663895,144.337112,179.787338,19.87925,,31182,,
27934,6.544517,-5.340594,204.498993,7.59,B8,0.058,-28.92741,201.545914,-19.033957,42.973427,,31195,,
27935,6.570488,65.28688,68.5401,7.59,F2,0.44,-4.263792,28.335911,62.26268,33.511974,,31333,,
27936,6.599385,-3.977643,283.286102,7.59,A2,0.16,-44.164036,279.1315,-19.650766,3.767038,,31517,,
27937,6.657585,-12.035141,833.333313,7.59,K0,1.204,-139.617508,802.968811,-173.759644,64.327995,,31842,,
27938,6.65984,-60.400841,280.112,7.59,G8III,0.998,-23.781553,136.296265,-243.557999,556.672791,,31858,,
27939,6.676,-34.21233,102.040802,7.59,A5m...,0.329,-14.856068,83.06559,-57.373596,62.921635,,31948,,
27940,6.698382,47.793537,132.978699,7.59,A2,0.307,-16.242868,87.846611,98.501152,8.348337,,32061,,
27941,6.710295,-10.749582,163.132095,7.59,A2,0.146,-29.631426,157.506393,-30.426888,14.177511,,32131,,
27942,6.806113,-1.817931,393.700806,7.59,K5III,1.536,-82.429817,384.772888,-12.489614,21.340275,,32624,,
27943,6.845894,-20.835852,884.955811,7.59,B5III,-0.105,-181.667831,806.884399,-314.771545,124.27964,,32841,,
27944,6.863717,-26.581772,100000,7.59,B2V,-0.14,-20050,87153.10156,-44747.45703,628.05835,,32952,,
27945,6.95338,-36.886787,279.32959,7.59,B4IV,-0.046,-55.185749,216.491425,-167.663742,8016780.5,,33442,,
27946,6.961998,40.829037,215.053802,7.59,K0,1,-40.550224,157.590286,140.603348,62.574875,,33494,,
27947,7.002863,30.286236,308.641998,7.59,G8III,1.345,-69.172882,257.384796,155.654648,37.085148,,33706,,
27948,7.035263,-50.429939,196.463699,7.59,B9V,-0.039,-33.506218,120.582932,-151.443298,76.348412,,33892,,
27949,7.222432,-8.862498,253.807098,7.59,A5,0.248,-78.8936,238.043777,-39.102459,30.931431,,34906,,
27950,7.259535,-1.860197,246.913605,7.59,G0,0.7,-79.909027,233.487976,-8.015027,51.665424,,35107,,
27951,7.413801,20.000843,337.837799,7.59,A0,0.038,-114.838272,295.963318,115.55201,48.887745,,35969,,
27952,7.444185,-4.318418,671.14093,7.59,K0,1.114,-247.043579,621.969177,-50.536419,91.537704,,36137,,
27953,7.461883,-47.414009,253.164597,7.59,B7V,0.063,-63.976978,158.921371,-186.395844,361.077148,,36234,,
27954,7.478488,63.874828,75.757599,7.59,F5,0.412,-12.592053,30.890741,68.017761,51.380699,,36333,,
27955,7.574457,-52.968159,28.9268,7.59,G5/G6V,0.724,-6.97933,15.962292,-23.092291,4.600447,,36832,,
27956,7.70962,-36.374813,362.318787,7.59,B8V,-0.107,-126.252525,262.987457,-214.878601,0.67112,,37562,,
27957,7.819995,-4.658817,680.272095,7.59,K0,1.01,-310.974884,602.504639,-55.253143,105.19619,,38158,,
27958,7.938797,22.571688,73.855202,7.59,K0,1.06,-33.148281,59.599865,28.348513,370.851471,,38785,,
27959,7.946644,26.105263,252.525299,7.59,K1III,1,-110.62796,197.94809,111.116447,4.373207,,38832,,
27960,8.104801,-18.373169,199.6008,7.59,A0V,0.056,-99.177658,161.387604,-62.9151,51.144627,,39658,,
27961,8.156153,1.314091,483.091797,7.59,A0,-0.01,-258.374573,408.041077,11.078845,31.944788,,39937,,
27962,8.168489,14.507987,57.241001,7.59,F5,0.523,-29.797152,46.72295,14.339727,187.068207,,39999,,
27963,8.186023,84.407295,199.6008,7.59,A0,0.046,-10.534678,16.352785,198.650665,2.627846,,40073,,
27964,8.285057,-34.497231,270.270294,7.59,A1IV,0.04,-125.444618,184.061523,-153.072006,31.944788,,40577,,
27965,8.306855,-7.571282,107.4114,7.59,F0,0.244,-60.465469,87.640419,-14.152479,58.559856,,40694,,
27966,8.332899,-36.611195,323.624603,7.59,A0III,0.032,-148.975922,212.811172,-193.003784,9.246982,,40826,,
27967,8.333702,16.223459,549.4505,7.59,K5,1.544,-302.643982,432.131714,153.507828,83.945999,,40835,,
27968,8.496572,0.273558,155.279495,7.59,K0,0.936,-94.416489,123.274895,0.741377,242.102905,,41677,,
27969,8.53386,-29.371227,89.605698,7.59,K1III/IV,1.046,-48.084141,61.527397,-43.948566,19.337486,,41856,,
27970,8.604656,-31.338297,520.833313,7.59,B5III,-0.095,-280.374146,345.371613,-270.880249,6.438727,,42198,,
27971,8.667415,-34.019802,271.002686,7.59,A4III,0.231,-144.415985,172.039917,-151.620422,217.370193,,42510,,
27972,8.678824,-11.927204,77.700104,7.59,G5,0.734,-49.051506,58.080891,-16.058184,58.884365,,42581,,
